website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
ebay.it,23.48.224.105,0.727,1.62,0.8963000000000001,0.7955000000000001,23.48.224.105,0.7955000000000001,0.0,True
ecnavi.jp,18.238.62.11,0.827,1.49,0.9459,0.889,18.238.62.11,0.889,0.0,True
economictimes.com,23.209.72.237,0.986,1.14,1.0646,1.0550000000000002,23.209.72.237,1.03,0.025000000000000133,True
ecwid.com,18.173.219.47,0.898,1.51,1.0467,0.9735,18.173.219.78,0.877,0.09650000000000003,False
edgenuity.com,52.85.61.56,0.878,1.76,0.9898,0.894,52.85.61.56,0.894,0.0,True
edmunds.com,18.164.124.58,1.02,1.14,1.0739999999999998,1.07,18.164.124.58,1.07,0.0,True
edweek.org,13.225.63.47,0.938,1.99,1.0986,1.0085,13.225.63.47,0.932,0.0764999999999999,True
edx.org,13.33.252.72,1.19,2.1,1.347,1.24,13.33.252.84,1.08,0.15999999999999992,False
eepurl.com,23.201.160.160,1.16,1.44,1.2599999999999998,1.235,23.201.160.160,1.235,0.0,True
eeroup.com,18.164.96.106,1.21,1.34,1.276,1.275,18.164.96.86,1.1,0.17499999999999982,False
elcomercio.pe,23.44.201.166,0.932,1.59,1.0847,0.979,23.44.201.177,0.827,0.15200000000000002,False
elcorreo.com,23.48.224.111,0.913,1.03,0.9678,0.9615,23.48.224.111,0.9615,0.0,True
eldebate.com,13.225.63.32,1.01,2.08,1.198,1.0750000000000002,13.225.63.82,0.956,0.11900000000000022,False
elephantbet.co.mz,18.67.17.54,13.7,14.7,13.89,13.8,18.67.17.69,13.3,0.5,False
elespanol.com,18.164.116.54,1.21,1.32,1.248,1.235,18.173.132.33,0.9,0.3350000000000001,False
elle.fr,18.238.80.77,0.797,0.966,0.8873000000000001,0.881,18.238.80.80,0.877,0.0040000000000000036,False
elpais.com,23.210.92.147,1.19,1.67,1.293,1.25,23.223.209.78,0.9785,0.27149999999999996,False
emerald.com,108.139.47.54,1.21,2.44,1.366,1.22,108.139.47.53,1.215,0.004999999999999893,False
emirates.com,23.46.226.163,0.697,0.835,0.7474,0.735,23.46.226.163,0.735,0.0,True
emltrk.com,18.238.49.105,0.842,0.937,0.89,0.887,18.238.49.105,0.887,0.0,True
empiresandpuzzles.com,18.173.219.104,0.883,0.961,0.9290999999999998,0.938,18.173.219.113,0.8665,0.0714999999999999,False
emxdgt.com,13.226.34.36,1.03,2.15,1.169,1.05,13.226.34.24,0.9425,0.10750000000000004,False
enjoei.com.br,13.33.252.52,0.972,1.08,1.0342,1.04,13.33.252.52,1.04,0.0,True
ensighten.com,13.226.34.66,0.938,1.81,1.0593,0.9775,13.226.34.66,0.962,0.01550000000000007,True
eonline.com,23.57.90.150,1.24,1.37,1.2970000000000002,1.29,23.43.85.41,1.27,0.020000000000000018,False
espn.com,3.171.139.12,0.851,2.22,1.0231,0.898,3.171.139.12,0.898,0.0,True
espn.com.mx,3.171.139.11,0.83,1.9,1.0113,0.9055,3.171.139.12,0.8875,0.018000000000000016,False
espn.com.ve,3.171.139.16,0.938,1.97,1.0795,0.97,3.171.139.12,0.868,0.10199999999999998,False
esportesdasorte.com,3.171.139.61,0.909,1.45,1.0167,0.954,3.171.139.30,0.877,0.07699999999999996,False
estadao.com.br,23.196.3.197,0.74,1.81,0.8916999999999999,0.7895000000000001,23.196.3.197,0.7895000000000001,0.0,True
eventbrite.co.uk,18.238.49.66,0.879,1.26,0.9745,0.9355,18.238.49.66,0.895,0.04049999999999998,True
eventbrite.com,18.238.49.117,0.917,1.01,0.9598,0.9625,18.238.49.66,0.88,0.08250000000000002,False
