Website,CDN_Server_1,CDN_Server_2,CDN_Server_3,CDN_Server_4,CDN_Server_5,CDN_Server_6,CDN_Server_7,CDN_Server_8,CDN_Server_9,CDN_Server_10,CDN_Server_11,CDN_Server_12,CDN_Server_13
google.jo,ams17s10-in-f3.1e100.net,lhr48s27-in-f3.1e100.net,sc-in-f94.1e100.net,yq-in-f94.1e100.net,sfo03s25-in-f3.1e100.net,lga34s34-in-f3.1e100.net,syd15s16-in-f3.1e100.net,yyz12s07-in-f3.1e100.net,bom07s33-in-f3.1e100.net,sfo03s21-in-f3.1e100.net,fra24s05-in-f3.1e100.net,lga25s81-in-f3.1e100.net,
razorpay.com,server-18-164-124-37.jfk50.r.cloudfront.net,server-13-33-187-57.fra60.r.cloudfront.net,server-108-138-64-86.iad12.r.cloudfront.net,server-108-157-254-61.sin2.r.cloudfront.net,server-13-33-187-101.fra60.r.cloudfront.net,server-18-239-142-52.bom54.r.cloudfront.net,server-18-65-244-38.syd3.r.cloudfront.net,server-18-239-83-59.ams58.r.cloudfront.net,server-13-227-74-45.sfo20.r.cloudfront.net,server-18-164-124-116.jfk50.r.cloudfront.net,server-13-33-165-125.yto50.r.cloudfront.net,,
nrk.no,a2-23-92-80.deploy.static.akamaitechnologies.com,a104-77-173-16.deploy.static.akamaitechnologies.com,ip-42-99-140-162.pacnet.net,a23-204-152-171.deploy.static.akamaitechnologies.com,a23-223-17-173.deploy.static.akamaitechnologies.com,a23-204-152-135.deploy.static.akamaitechnologies.com,a23-44-229-208.deploy.static.akamaitechnologies.com,a104-109-143-89.deploy.static.akamaitechnologies.com,a184-24-77-147.deploy.static.akamaitechnologies.com,a184-84-165-115.deploy.static.akamaitechnologies.com,a23-40-205-43.deploy.static.akamaitechnologies.com,a23-44-229-226.deploy.static.akamaitechnologies.com,
mynavi.jp,server-3-168-86-42.sfo5.r.cloudfront.net,server-13-249-91-26.jfk52.r.cloudfront.net,server-3-161-82-17.fra56.r.cloudfront.net,server-18-65-244-107.syd3.r.cloudfront.net,server-13-33-165-57.yto50.r.cloudfront.net,server-13-249-91-126.jfk52.r.cloudfront.net,server-13-225-78-90.fra2.r.cloudfront.net,server-18-239-50-117.ams58.r.cloudfront.net,server-3-168-86-89.sfo5.r.cloudfront.net,server-13-33-88-70.sin2.r.cloudfront.net,server-13-249-91-5.jfk52.r.cloudfront.net,server-13-32-151-39.iad66.r.cloudfront.net,server-18-239-142-74.bom54.r.cloudfront.net
compass.com,server-52-85-49-74.hel50.r.cloudfront.net,server-18-239-199-51.sfo53.r.cloudfront.net,server-18-239-36-126.ams58.r.cloudfront.net,server-18-173-132-128.jfk52.r.cloudfront.net,server-3-167-69-25.iad61.r.cloudfront.net,server-18-173-132-109.jfk52.r.cloudfront.net,server-13-226-2-52.tlv50.r.cloudfront.net,server-18-239-199-108.sfo53.r.cloudfront.net,server-52-222-236-53.fra56.r.cloudfront.net,server-13-33-165-74.yto50.r.cloudfront.net,,,
google.ge,syd09s25-in-f4.1e100.net,nuq04s39-in-f4.1e100.net,sfo03s32-in-f4.1e100.net,ams16s37-in-f4.1e100.net,lhr48s48-in-f4.1e100.net,yv-in-f147.1e100.net,lga25s79-in-f4.1e100.net,lga25s81-in-f4.1e100.net,yyz10s20-in-f4.1e100.net,lga25s80-in-f4.1e100.net,sb-in-f106.1e100.net,fra24s11-in-f4.1e100.net,bom12s12-in-f4.1e100.net
mainichi.jp,server-108-158-32-118.syd3.r.cloudfront.net,server-18-172-112-23.fra60.r.cloudfront.net,server-108-139-29-36.jfk50.r.cloudfront.net,server-18-173-121-52.sfo53.r.cloudfront.net,server-18-172-112-112.fra60.r.cloudfront.net,server-3-165-102-29.sin2.r.cloudfront.net,server-18-173-121-27.sfo53.r.cloudfront.net,server-3-162-103-96.iad61.r.cloudfront.net,server-108-139-29-48.jfk50.r.cloudfront.net,server-13-33-165-4.yto50.r.cloudfront.net,server-18-239-83-56.ams58.r.cloudfront.net,server-18-172-78-35.bom78.r.cloudfront.net,
hgtv.com,server-108-139-29-36.jfk50.r.cloudfront.net,server-18-67-17-7.yto50.r.cloudfront.net,server-18-239-18-114.ams58.r.cloudfront.net,server-18-155-202-6.sfo53.r.cloudfront.net,server-13-226-2-95.tlv50.r.cloudfront.net,server-52-85-132-109.iad50.r.cloudfront.net,server-52-85-49-79.hel50.r.cloudfront.net,server-18-155-202-28.sfo53.r.cloudfront.net,server-108-139-29-104.jfk50.r.cloudfront.net,server-108-139-29-19.jfk50.r.cloudfront.net,server-18-245-86-117.fra60.r.cloudfront.net,server-18-245-86-39.fra60.r.cloudfront.net,
jwpsrv.com,server-13-227-219-185.ams54.r.cloudfront.net,server-108-156-15-164.hel51.r.cloudfront.net,server-18-244-215-150.sfo53.r.cloudfront.net,server-3-161-81-138.fra56.r.cloudfront.net,server-18-165-97-134.iad55.r.cloudfront.net,server-18-67-14-206.yto50.r.cloudfront.net,server-3-168-114-132.jfk52.r.cloudfront.net,,,,,,
google.com.bo,lhr35s10-in-f3.1e100.net,lga34s36-in-f3.1e100.net,nuq04s39-in-f3.1e100.net,yx-in-f94.1e100.net,prg03s02-in-f99.1e100.net,sfo03s25-in-f3.1e100.net,lga34s38-in-f3.1e100.net,sg-in-f94.1e100.net,syd15s16-in-f3.1e100.net,ams17s12-in-f3.1e100.net,bom12s15-in-f3.1e100.net,lga34s35-in-f3.1e100.net,yyz12s07-in-f3.1e100.net
google.co.ke,lga25s71-in-f3.1e100.net,sfo03s26-in-f3.1e100.net,lhr48s30-in-f3.1e100.net,lga34s37-in-f3.1e100.net,fra24s06-in-f3.1e100.net,yr-in-f94.1e100.net,sl-in-f94.1e100.net,ams15s42-in-f3.1e100.net,lax30s03-in-f3.1e100.net,yyz10s20-in-f3.1e100.net,syd09s24-in-f3.1e100.net,nuq04s43-in-f3.1e100.net,pnbomb-ad-in-f3.1e100.net
