website,cdn,min,max,mean,media
playbattlegrounds.com,108.138.246.32,0.79,1.46,0.9026,0.8314999999999999
playbattlegrounds.com,13.227.219.72,138.0,139.0,138.1,138.0
playbattlegrounds.com,18.165.98.43,67.1,68.1,67.27000000000001,67.2
playbattlegrounds.com,18.66.122.57,149.0,150.0,149.1,149.0
playbattlegrounds.com,18.164.96.7,68.3,68.5,68.4,68.4
playbattlegrounds.com,18.67.39.111,67.9,68.0,67.91,67.9
playbattlegrounds.com,18.65.244.29,137.0,137.0,137.0,137.0
mercadolivre.com,3.168.86.110,0.798,1.86,0.9446,0.854
mercadolivre.com,3.168.86.122,0.809,1.37,0.8884000000000001,0.835
mercadolivre.com,108.158.46.3,240.0,247.0,242.44444444444446,241.0
mercadolivre.com,108.138.106.32,70.0,70.2,70.08000000000001,70.1
mercadolivre.com,13.32.99.44,150.0,151.0,150.1,150.0
mercadolivre.com,108.138.106.113,68.8,69.4,68.96000000000001,68.9
mercadolivre.com,13.33.165.13,67.0,67.4,67.15,67.1
mercadolivre.com,108.158.32.75,136.0,136.0,136.0,136.0
mercadolivre.com,13.33.30.93,179.0,180.0,179.1,179.0
mercadolivre.com,18.239.18.18,141.0,142.0,141.1,141.0
mercadolivre.com,3.168.86.73,0.806,2.13,1.1576,0.8374999999999999
care.com,23.216.149.68,0.752,1.31,0.8627,0.7925
care.com,95.101.74.84,140.0,141.0,140.1,140.0
care.com,23.49.248.9,66.8,67.4,66.88999999999999,66.8
care.com,23.11.215.137,240.0,241.0,240.1,240.0
care.com,23.216.149.138,0.762,1.63,0.9141,0.838
care.com,2.21.67.33,135.0,136.0,135.1,135.0
care.com,23.49.248.31,66.8,66.9,66.85,66.85
care.com,23.32.29.9,184.0,184.0,184.0,184.0
care.com,23.205.255.228,60.2,60.3,60.220000000000006,60.2
care.com,23.48.105.11,59.8,59.9,59.83999999999999,59.8
care.com,23.216.149.149,0.76,0.866,0.8141,0.815
care.com,2.21.20.3,147.0,148.0,147.1,147.0
care.com,23.208.29.177,197.0,198.0,197.2,197.0
edgenuity.com,13.35.121.128,0.799,1.59,0.9264000000000001,0.8514999999999999
edgenuity.com,108.138.26.13,147.0,148.0,147.1,147.0
edgenuity.com,13.35.121.128,0.818,2.42,1.0198,0.8605
edgenuity.com,18.65.244.37,137.0,138.0,137.1,137.0
edgenuity.com,52.85.61.75,66.7,67.6,66.86,66.8
edgenuity.com,18.66.41.58,242.0,243.0,242.3,242.0
edgenuity.com,3.164.92.50,64.9,65.9,65.07,65.0
edgenuity.com,13.35.121.115,0.839,1.71,0.9393,0.851
edgenuity.com,108.138.26.79,148.0,149.0,148.2,148.0
edgenuity.com,18.239.50.80,145.0,146.0,145.1,145.0
edgenuity.com,3.165.102.110,188.0,189.0,188.1,188.0
tvbs.com.tw,18.244.214.78,0.275,0.754,0.3617,0.317
tvbs.com.tw,18.244.18.107,147.0,147.0,147.0,147.0
tvbs.com.tw,18.244.214.78,0.278,0.383,0.31689999999999996,0.3125
tvbs.com.tw,18.238.55.72,66.5,67.2,66.65,66.6
tvbs.com.tw,18.239.142.62,244.0,250.0,244.6,244.0
tvbs.com.tw,18.244.18.82,144.0,146.0,144.2,144.0
tvbs.com.tw,18.239.36.51,138.0,138.0,138.0,138.0
tvbs.com.tw,18.245.96.3,70.4,70.4,70.4,70.4
tvbs.com.tw,3.165.82.53,186.0,187.0,186.1,186.0
tvbs.com.tw,13.35.147.35,136.0,138.0,136.2,136.0
tvbs.com.tw,18.244.214.30,0.291,0.913,0.38350000000000006,0.3275
tvbs.com.tw,18.67.65.98,67.4,68.2,67.50000000000001,67.4
